Lat,Long,Species,Lifestage,Sex,Site,Year, Ag  , As  , Ba   , Be  , Bi  , Cd  , Co   , Cu  , Fe   , Ga  , Hg , Li  , Mn   , Mo  , Ni  , Pb  , Rb  , Sb  , Se  , Sn  , Sr  , Tl  , U  , V   , Zn  
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0,0.91,0,0,0,0,2.77,102.56,0.03,0.686237793,0.02,3.24,0.14,0.67,0,8.45,0,2.3,0,3.63,0,0,0.08,50.61
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0,1.43,0,0,0,0,2.74,139.86,0.05,0.787577515,0.04,2.16,0.13,0.77,0,8.47,0,2.14,0,4.7,0,0,0.08,53.42
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0,1.17,0,0,0,0,2.77,151.62,0.04,0.371898621,0.03,2.96,0.19,0.57,0,7.7,0,2.51,0,4.18,0.01,0,0.08,57.58
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0.02,0.87,0,0,0,0,3.17,167.4,0.03,0.22397052,0.03,4.31,0.13,1.13,0,5.91,0,1.48,0,4.03,0,0,0.07,61.99
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0.05,1.3,0,0,0,0,2.87,133.04,0.04,0.940101807,0.04,4.33,0.15,0.8,0,7.86,0,2.4,0,4.72,0,0,0.07,60.47
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0.02,1.53,0,0,0,0,2.52,117.85,0.05,1.784071777,0.07,2.89,0.09,0.18,0,8.31,0,2.1,0,3.23,0,0,0.07,59.13
56.51,-110.51,Gull ,Egg,Unknown,A30,2014,0,0.04,1.31,0,0,0,0,2.93,152.26,0.05,,0.06,2.73,0.17,0.1,0,8.72,0,2.22,0,4.08,0,0,0.11,58.53
53.25,-112.92,Gull ,Egg,Unknown,A5,2014,0.01,0,8.29,0,0,0,0,2.52,127.13,0.27,0.302398376,0.15,2.08,0.13,0.31,0,6.91,0,2.71,0,11.08,0.01,0,0.17,67.37
53.25,-112.92,Gull ,Egg,Unknown,A5,2014,0,0,3.35,0,0,0,0,3.36,117.53,0.11,0.174002121,0.13,3.37,0.21,0.71,0,9.74,0,2.82,0,16.61,0,0,0.1,71.07
53.25,-112.92,Gull ,Egg,Unknown,A5,2014,0,0,2.07,0,0,0,0,2.83,103.86,0.07,0.655895264,0.17,2.42,0.15,0.1,0,7.63,0,2.53,0,5.44,0,0,0.1,71.47
53.25,-112.92,Gull ,Egg,Unknown,A5,2014,0.01,0,4.87,0,0,0,0,3.09,122.43,0.16,0.318468536,0.07,1.94,0.16,0.1,0,5.93,0,2.69,0,10.42,0.01,0,0.08,64
53.25,-112.92,Gull ,Egg,Unknown,A5,2014,0.01,0,3.59,0,0,0,0,4.04,125.58,0.12,0.085481911,0.15,2.48,0.27,0.84,0,12.31,0,2.91,0,21.28,0.01,0,0.34,82.66
53.25,-112.92,Gull ,Egg,Unknown,A5,2014,0.01,0,3.46,0,0,0,0,3.15,115.03,0.12,0.645286316,0.28,4.72,0.15,0.71,0,5.95,0,2.23,0,17.1,0,0,0.09,75.71
53.25,-112.92,Gull ,Egg,Unknown,A5,2014,0.01,0.04,5.23,0,0,0,0.06,3.69,238.56,0.18,0.292961029,0.08,3.85,0.43,1.45,0,7.36,0,2.2,0.01,21.02,0,0,0.12,74.7
53.25,-112.92,Gull ,Egg,Unknown,A5,2014,0,0,2.61,0,0,0,0,3.18,98.09,0.09,0.106889854,0.1,3.79,0.2,0.64,0.02,8.82,0,3.6,0,9.93,0.03,0,0.09,72.89
53.25,-112.92,Gull ,Egg,Unknown,A5,2014,0.01,0.05,5.19,0,0,0,0,2.4,108.44,0.17,0.431886932,0.09,1.73,0.14,0.17,0.09,7.36,0,3.23,0.15,5.4,0.02,0,0.13,58.96
53.25,-112.92,Gull ,Egg,Unknown,A5,2014,0,0.04,3.5,0,0,0,0.05,2.93,106.35,0.12,0.946809265,0.1,2.14,0.18,0.69,0,7.09,0,2.9,0,9.94,0.02,0,0.12,59.79
53.25,-112.92,Gull ,Egg,Unknown,A5,2014,0,0.05,3.5,0,0,0,0.07,2.74,387.78,0.12,0.296649597,0.13,4.17,0.18,0.53,0.02,6.53,0,3.09,0,5.56,0.02,0,0.14,70.04
53.25,-112.92,Gull ,Egg,Unknown,A5,2014,0,0,4.73,0,0,0,0.08,2.98,121.46,0.16,0.1727117,0.11,2.5,0.15,0.1,0,6.93,0,2.61,0,7.79,0.01,0,0.11,59.47
53.25,-112.92,Gull ,Egg,Unknown,A5,2014,0,0,5.79,0,0,0,0,2.56,138.63,0.19,0.227932053,0.17,2.43,0.15,0.12,0.11,8.79,0,2.5,0,9.38,0,0,0.11,84.79
53.25,-112.92,Gull ,Egg,Unknown,A5,2014,0.02,0,2.39,0,0,0,0,2.84,118.54,0.08,0.628070923,0.1,2.84,0.17,0.46,0,7.82,0,3.32,0,7.96,0.02,0,0.09,56.52
53.25,-112.92,Gull ,Egg,Unknown,A5,2014,0,0.05,3.92,0,0,0,0,2.84,159.29,0.14,0.76274884,0.09,3.05,0.2,0.58,0,5.76,0,3.36,0,8.71,0.02,0,0.1,69.14
53.25,-112.92,Gull ,Egg,Unknown,A5,2014,0.01,0.08,6.51,0,0,0,0,3.34,136.06,0.22,0.794009094,0.18,3.39,0.19,0.92,0,7.41,0,3.14,0,24.58,0,0,0.1,81.22
50.5,-105.94,Gull ,Egg,Unknown,A3,2014,0,0,2.31,0,0,0,0,2.88,126.82,0.08,,0.17,1.97,0.2,0.37,0,5.89,0,2.55,0,5.53,0,0,0.09,65.82
50.5,-105.94,Gull ,Egg,Unknown,A3,2014,0,0.03,1.45,0,0.01,0,0,3.55,117.06,0.06,,0.23,1.72,0.19,0.85,0,2.24,0,3.79,0,9.59,0,0,0.08,57.69
50.5,-105.94,Gull ,Egg,Unknown,A3,2014,0,0.06,2.96,0,0,0,0,2.94,147.55,0.1,,0.22,3.73,0.21,0.33,0,7.56,0,3.53,0,5.49,0.01,0,0.1,69.8
50.5,-105.94,Gull ,Egg,Unknown,A3,2014,0,0,3.74,0,0,0,0,2.41,135.44,0.13,,0.15,2.72,0.14,0.11,0,3.86,0,2.77,0,7.98,0.01,0,0.08,55.53
